#Metadata,,,,,,,,,,,,,,,,,,,,,
#Name and contact info,,,"Curtis Provencher, cprovenc@uvm.edu",,,,,,,,,,,,,,,,,,
#Study name: ,,,,,,,,,,,,,,,,,,,,,
#Financial support:,,,"National Science Foundation, Division of Environmental Biology (1136644) ",,,,,,,,,,,,,,,,,,
#Methods of data collection: ,,,,,,,,,,,,,,,,,,,,,
#Experimental units for each variable:,,,,,,,deg. C,deg. C,deg. C,deg. C,ng/uL,,,,,,,ng/uL,,uL,uL
#Data layout and structure:,,,,,,,,,,,,,,,,,,,,,
N,Collection Date,Site,Vial Name,Cham,Sample,Window,BaitTemp1,BaitTemp2,BaitTemp3,BaitTemp4,RNA conc. ,Isolation Date,CT_18s,CT_40,CT_70,CT_83,RIN_Value,CDNA,dilution factor,vol cDNA for dilution,vol of water for dilution
48,20130910,DF,DF A1-B,1,3,B,27,28.4,27.6,29,35.4,20150724,11.777,29.241,24.385,27.095,2.7,2.5,10,5,45
49,20130910,DF,DF A2-A,2,1,B,24.8,25.8,25.2,25.2,43.2,20150729,14.492,29.715,24.591,27.064,4.2,2.5,10,5,45
50,20130910,DF,DF A2-B,2,2,B,25.8,26,26,26.2,26.8,20150729,29.715,30.106,25.696,27.868,1,2.5,10,5,45
51,20130910,DF,DF A2-D,2,3,D,25.8,26.2,25.6,26.2,7.58,20150724,11.55,29.522,23.94,NA,2.9,2.5,10,5,45
52,20130910,DF,DF A3-B,3,1,B,29.4,29.4,30.8,30.8,37.6,20150723,10.961,27.239,21.642,24.431,3.7,2.5,10,5,45
53,20130910,DF,DF A3-A,3,2,A,29.6,30.2,30.6,30.6,9.53,20150730,21.767,,30.255,32.294,3.9,2.5,10,5,45
54,20130910,DF,DF A3-C,3,3,C,28.8,30.6,31.4,30.4,57,20150727,11.955,28.294,22.85,23.807,3.7,2.5,10,5,45
55,20130910,DF,DF 4A-B,4,1,B,25.4,25.6,24.8,25.8,29.5,20150728,11.1,26.915,22.721,23.212,1,2.5,10,5,45
56,20130910,DF,DF 4B-C,4,2,C,27.4,26.8,26.4,27.6,3.7,20150723,11.409,28.308,22.878,23.729,1.1,1.85,7.4,6.756756757,43.24324324
57,20130910,DF,DF A4-A,4,3,A,27.6,27.4,27.6,27.8,21.6,20150730,24.276,,30.736,33.774,2.7,2.5,10,5,45
58,20130910,DF,DF 5D-C,5,1,C,28.8,29.4,29.2,29.6,54,20150727,11.378,27.739,22.342,23.412,4.4,2.5,10,5,45
59,20130910,DF,DF 5B-D,5,2,B,29.2,29.2,29.6,29.4,27.3,20150728,10.991,27.249,21.153,21.493,4.8,2.5,10,5,45
60,20130910,DF,DF 5C-4,5,3,D,29.9,29.4,28.4,29.4,36.7,20150723,10.811,27.331,21.923,23.088,3.5,2.5,10,5,45
61,20130910,DF,DF A6-1,6,1,A,25.4,24.8,25.2,25.8,14.1,20150723,10.932,27.436,22.32,23.123,,2.5,10,5,45
62,20130910,DF,DF A6-C,6,2,C,24.8,24.8,25.6,26.2,76,20150728,10.969,28.158,22.671,24.358,4.3,2.5,10,5,45
63,20130910,DF,DF A6-4,6,3,D,24.8,24.8,25.8,26.2,8.22,20150728,11.328,28.592,22.65,23.598,4.3,2.5,10,5,45
64,20130910,DF,DF 8-B,8,1,B,29.6,30.2,29.2,30.2,41.2,20150723,10.939,28.207,,NA,2.7,2.5,10,5,45
65,20130910,DF,DF A8-D,8,2,D,32.2,32.8,33.2,33.4,25.4,20150724,12.112,27.879,21.411,22.399,5.4,2.5,10,5,45
66,20130910,DF,DF 8-C,8,3,C,32.4,31,32.2,32.2,26.2,20150727,11.01,26.476,20.621,20.685,5.1,2.5,10,5,45
67,20130910,DF,DF A9-C,9,1,C,28.2,28.2,28.6,27.6,41.3,20150728,11.236,27.999,21.781,22.881,4,2.5,10,5,45
68,20130910,DF,DF A9-B,9,2,B,27.2,28.2,27.2,27.8,71,20150727,13.946,28.98,22.868,25.418,5.7,2.5,10,5,45
69,20130910,DF,DF A10-3,10,1,C,24.4,25.2,25.2,25,43.1,20150724,12.353,27.933,22.99,24.259,4.5,2.5,10,5,45
70,20130910,DF,DF 10-2,10,2,B,25,24,25,25,57,20150727,10.985,28.161,23.147,23.722,3.4,2.5,10,5,45
71,20130910,DF,DF A10-1,10,3,A,25,24,24,24,32.1,20150724,11.274,27.937,22.096,23.32,4.4,2.5,10,5,45
72,20130910,DF,DF A11-D,11,1,A,27.4,27.2,27.2,26.8,24.6,20150728,10.892,28.565,22.646,23.037,4.2,2.5,10,5,45
73,20130910,DF,DF A11-C,11,2,C,27.8,27.4,27.6,27.8,54,20150728,11.025,28.421,23.219,24.773,3.2,2.5,10,5,45
74,20130910,DF,DF A11-B,11,3,B,27.8,27.6,27.6,27.8,36.2,20150724,11.466,28.01,22.947,25.509,4.4,2.5,10,5,45
75,20130910,DF,DF A12-D,12,1,D,31.8,31.4,31.2,31.6,61,20150729,21.573,,28.549,30.693,3.3,2.5,10,5,45
76,20130910,DF,DF 12-B,12,2,B,30.2,31.6,29.8,30.4,40.2,20150729,12.181,29.408,23.682,25.289,4.3,2.5,10,5,45
77,20130910,DF,DF A12-C,12,3,C,31.4,32.6,31.8,31.6,15.1,20150728,18.336,,29.725,31.042,1,2.5,10,5,45
78,20130910,DF,DF 13-A,13,1,A,29.8,28.8,29,29.6,6.61,20150724,12.776,29.566,23.921,25.123,5.4,2.5,10,5,45
79,20130910,DF,DF 13-B,13,2,B,28.2,28.8,28.6,29.6,46.2,20150727,14.746,29.261,23.873,25.583,3.6,2.5,10,5,45
80,20130910,DF,DF 13-D,13,3,D,29.4,29.8,30,29.8,47,20150729,17.998,30.282,25.588,26.795,4,2.5,10,5,45
81,20130910,DF,DF 14-A,14,1,A,30.4,30,30.6,30.4,10.9,20150727,13.134,,27.302,29.493,3.1,2.5,10,5,45
82,20130910,DF,DF 14-D,14,2,D,29.4,28.4,30.2,30.8,2.97,20150723,11.437,29.096,23.408,24.104,1,1.485,5.94,8.417508418,41.58249158
83,20130910,DF,DF 14-C,14,3,B,31.6,30.6,32,31.2,52,20150723,10.936,26.5,21.124,20.215,5.4,2.5,10,5,45
84,20130910,DF,DF 15-A,15,1,A,30.6,31.4,31.8,30.6,58.2,20150729,28.202,,31.198,33.115,1,2.5,10,5,45
85,20130910,DF,DF 15B-C,15,2,C,30.6,30.1,31.2,30.4,41.6,20150727,13.412,29.185,23.702,25.73,4.6,2.5,10,5,45
86,20130910,DF,DF 15-C,15,3,B,30.2,30.4,30.4,30.2,7.71,20150729,18.578,30.253,25.072,27.646,1,2.5,10,5,45
87,20140717,DF,,1,1,NA,27.6,27.6,27.4,NA,,,,,,,,0,#DIV/0!,#DIV/0!,#DIV/0!
88,20140717,DF,,1,2,NA,24.4,22.8,24.8,NA,,,,,,,,0,#DIV/0!,#DIV/0!,#DIV/0!
89,20140717,DF,,1,3,NA,24.6,24.8,23.8,NA,,,,,,,,0,#DIV/0!,#DIV/0!,#DIV/0!
90,20140717,DF,,2,1,NA,26.2,27.8,30.6,NA,,,,,,,,0,#DIV/0!,#DIV/0!,#DIV/0!
91,20140717,DF,,2,2,NA,24.8,28.6,26.4,NA,,,,,,,,0,#DIV/0!,#DIV/0!,#DIV/0!
92,20140717,DF,,2,3,NA,24.4,24.4,23.8,NA,,,,,,,,0,#DIV/0!,#DIV/0!,#DIV/0!
93,20140717,DF,,3,1,NA,26.8,26.4,27.2,NA,,,,,,,,0,#DIV/0!,#DIV/0!,#DIV/0!
94,20140717,DF,,3,2,NA,25.8,26.4,25.2,NA,,,,,,,,0,#DIV/0!,#DIV/0!,#DIV/0!
95,20140717,DF,,3,3,NA,25.4,24.2,25.8,NA,,,,,,,,0,#DIV/0!,#DIV/0!,#DIV/0!
96,20140717,DF,,4,1,NA,24.8,25.6,23.6,NA,,,,,,,,0,#DIV/0!,#DIV/0!,#DIV/0!
97,20140717,DF,,4,2,NA,23.4,22.6,24.2,NA,,,,,,,,0,#DIV/0!,#DIV/0!,#DIV/0!
98,20140717,DF,,4,3,NA,25.6,24.6,25.8,NA,,,,,,,,0,#DIV/0!,#DIV/0!,#DIV/0!
99,20140717,DF,,5,1,NA,23.4,22.6,22.4,NA,,,,,,,,0,#DIV/0!,#DIV/0!,#DIV/0!
100,20140717,DF,,5,2,NA,22.4,22.6,23.6,NA,,,,,,,,0,#DIV/0!,#DIV/0!,#DIV/0!
101,20140717,DF,,5,3,NA,23.8,23.4,22.8,NA,,,,,,,,0,#DIV/0!,#DIV/0!,#DIV/0!
102,20140717,DF,,6,1,NA,23.2,24.2,22.8,NA,,,,,,,,0,#DIV/0!,#DIV/0!,#DIV/0!
103,20140717,DF,,6,2,NA,23.6,22.6,23.8,NA,,,,,,,,0,#DIV/0!,#DIV/0!,#DIV/0!
104,20140717,DF,,6,3,NA,23.8,23.4,23.4,NA,,,,,,,,0,#DIV/0!,#DIV/0!,#DIV/0!
105,20140717,DF,,7,1,NA,22.8,22.8,22.6,NA,,,,,,,,0,#DIV/0!,#DIV/0!,#DIV/0!
106,20140717,DF,,7,2,NA,22.6,22.12,22.2,NA,,,,,,,,0,#DIV/0!,#DIV/0!,#DIV/0!
107,20140717,DF,,7,3,NA,24.4,23.6,23.2,NA,,,,,,,,0,#DIV/0!,#DIV/0!,#DIV/0!
108,20140717,DF,,8,1,NA,27.8,26.4,29.2,NA,,,,,,,,0,#DIV/0!,#DIV/0!,#DIV/0!
109,20140717,DF,,8,2,NA,25.6,25.6,25.4,NA,,,,,,,,0,#DIV/0!,#DIV/0!,#DIV/0!
110,20140717,DF,,8,3,NA,23.6,24,24.8,NA,,,,,,,,0,#DIV/0!,#DIV/0!,#DIV/0!
111,20140717,DF,,9,1,NA,26.8,24.8,25.6,NA,,,,,,,,0,#DIV/0!,#DIV/0!,#DIV/0!
112,20140717,DF,,9,2,NA,28.8,28.2,26.2,NA,,,,,,,,0,#DIV/0!,#DIV/0!,#DIV/0!
113,20140717,DF,,9,3,NA,24.4,25.2,24,NA,,,,,,,,0,#DIV/0!,#DIV/0!,#DIV/0!
114,20140717,DF,,10,1,NA,23.4,23.8,23.8,NA,,,,,,,,0,#DIV/0!,#DIV/0!,#DIV/0!
115,20140717,DF,,10,2,NA,24.6,23.2,23,NA,,,,,,,,0,#DIV/0!,#DIV/0!,#DIV/0!
116,20140717,DF,,10,3,NA,24.2,24.2,25.2,NA,,,,,,,,0,#DIV/0!,#DIV/0!,#DIV/0!
117,20140717,DF,,11,1,NA,24.4,24.4,24.4,NA,,,,,,,,0,#DIV/0!,#DIV/0!,#DIV/0!
118,20140717,DF,,11,2,NA,27,26.2,26.2,NA,,,,,,,,0,#DIV/0!,#DIV/0!,#DIV/0!
119,20140717,DF,,11,3,NA,26,24.4,25.8,NA,,,,,,,,0,#DIV/0!,#DIV/0!,#DIV/0!
120,20140717,DF,,12,1,NA,25,24.2,25.2,NA,,,,,,,,0,#DIV/0!,#DIV/0!,#DIV/0!
121,20140717,DF,,12,2,NA,25.8,24.8,24.6,NA,,,,,,,,0,#DIV/0!,#DIV/0!,#DIV/0!
122,20140717,DF,,12,3,NA,24.8,24.6,24.8,NA,,,,,,,,0,#DIV/0!,#DIV/0!,#DIV/0!
123,20140717,DF,,13,1,NA,26.2,27.6,25.4,NA,,,,,,,,0,#DIV/0!,#DIV/0!,#DIV/0!
124,20140717,DF,,13,2,NA,24.8,25,25.2,NA,,,,,,,,0,#DIV/0!,#DIV/0!,#DIV/0!
125,20140717,DF,,13,3,NA,26,26.4,25.6,NA,,,,,,,,0,#DIV/0!,#DIV/0!,#DIV/0!
126,20140717,DF,,14,1,NA,27.2,26.6,25.2,NA,,,,,,,,0,#DIV/0!,#DIV/0!,#DIV/0!
127,20140717,DF,,14,2,NA,26.6,26.6,26.2,NA,,,,,,,,0,#DIV/0!,#DIV/0!,#DIV/0!
128,20140717,DF,,14,3,NA,25.2,25.6,25.4,NA,,,,,,,,0,#DIV/0!,#DIV/0!,#DIV/0!
129,20140717,DF,,15,1,NA,29.4,29.8,29.2,NA,,,,,,,,0,#DIV/0!,#DIV/0!,#DIV/0!
130,20140717,DF,,15,2,NA,26.8,26,25.8,NA,,,,,,,,0,#DIV/0!,#DIV/0!,#DIV/0!
131,20140717,DF,,15,3,NA,25.6,26.8,24.4,NA,,,,,,,,0,#DIV/0!,#DIV/0!,#DIV/0!
132,20140911,DF,DF 1.1,1,1,B,28.4,28.4,28.4,NA,46,20150624,,,,,5.8,2.5,10,5,45
133,20140911,DF,DF 1.2,1,2,C,28.6,28.8,28.4,NA,2,20150624,,,,,7,1,4,12.5,37.5
134,20140911,DF,DF 1.3,1,3,D,29.4,29,28.8,NA,41.6,20150824,8.259,26.661,21.753,22.047,8.2,2.5,10,5,45
135,20140911,DF,DF 2.1,2,1,D,27.6,27.2,26.2,NA,26.1,20150824,8.409,27.657,22.928,24.594,7.2,2.5,10,5,45
136,20140911,DF,DF 2.2,2,2,C,26.6,26.6,25.4,NA,20.8,20150817,13.09,29.487,25.904,28.657,1,2.5,10,5,45
137,20140911,DF,DF 2.3,2,3,B,26.6,26.4,26.8,NA,24.6,20150710,,,,,8,2.5,10,5,45
138,20140911,DF,DF 3.1,3,1,A,30.8,30.2,30.8,NA,32.9,20150824,16.046,31.487,28.697,30.252,8,2.5,10,5,45
139,20140911,DF,DF 3.2,3,2,B,30.1,29.6,29.2,NA,36.2,20150817,12.089,27.671,23.818,23.851,7.7,2.5,10,5,45
140,20140911,DF,DF 3.3,3,3,D,30,30,30.4,NA,45,20150817,9.98,27.649,23.705,23.7,7.5,2.5,10,5,45
141,20140911,DF,DF 4.1,4,1,D,28.6,28.6,29.2,NA,23.4,20150817,8.346,26.533,22.689,21.884,7.8,2.5,10,5,45
142,20140911,DF,DF 4.2,4,2,C,28.6,28.8,28.6,NA,<2,20150710,,,,NA,,2.5,10,5,45
143,20140911,DF,DF 4.3,4,3,A,28.8,29.6,29,NA,<2,20150624,,,,NA,,2.5,10,5,45
144,20140911,DF,DF 5.1,5,1,B,28.8,29.2,28.6,NA,<2,20150710,,,,NA,,2.5,10,5,45
145,20140911,DF,DF 5.2,5,2,D,28.2,28,28.2,NA,2,20150710,,,,,6,1,4,12.5,37.5
146,20140911,DF,DF 5.3,5,3,A,28.6,28.6,28.4,NA,8.15,20150624,,,,,7.1,2.5,10,5,45
147,20140911,DF,DF 6.1,6,1,A,28,27.2,28.4,NA,<2,20150624,,,,NA,,2.5,10,5,45
148,20140911,DF,DF 6.2,6,2,C,28.6,28.4,28.4,NA,6.18,20150824,8.328,28.045,24.283,23.542,7.1,2.5,10,5,45
149,20140911,DF,DF 6.3,6,3,D,28.4,28.6,28,NA,12.1,20150710,,,,,7.5,2.5,10,5,45
150,20140911,DF,DF 7.1,7,1,A,31.8,32.4,31.6,NA,23.9,20150710,,,,,6.2,2.5,10,5,45
151,20140911,DF,DF 7.2,7,2,B,31,31.2,29.6,NA,<2,20150710,,,,NA,,2.5,10,5,45
152,20140911,DF,DF 7.3,7,3,C,30.2,30,29.8,NA,<2,20150624,,,,NA,,2.5,10,5,45
153,20140911,DF,DF 8.1,8,1,C,32,32.4,31.8,NA,39.2,20150817,9.34,26.634,22.457,21.799,7.5,2.5,10,5,45
154,20140911,DF,DF 8.2,8,2,A,32.8,32.4,33,NA,2.74,20150817,16.872,31.118,27.53,28.062,2.9,1.37,5.48,9.124087591,40.87591241
156,20140911,DF,DF 9.1,9,1,D,30.8,31.4,32.2,NA,<2,20150624,,,,NA,,2.5,10,5,45
157,20140911,DF,DF 9.2,9,2,C,39.4,29,30.2,NA,46.4,20150817,15.661,28.847,25.504,26.723,8,2.5,10,5,45
158,20140911,DF,DF 9.3,9,3,B,32.6,31.8,30.8,NA,<2,20150624,,,,NA,,2.5,10,5,45
159,20140911,DF,DF 11.1,11,1,D,29.8,29.8,29.6,NA,30,20150824,15.252,30.281,24.095,27.018,7.6,2.5,10,5,45
160,20140911,DF,DF 11.2,11,2,C,29.2,29.6,29.4,NA,43.8,20150817,9.482,26.749,22.543,21.946,8.4,2.5,10,5,45
161,20140911,DF,DF 11.3,11,3,B,29.2,29.4,29.8,NA,17.8,20150710,,,,,6.3,2.5,10,5,45
162,20140911,DF,DF 13.1,13,1,B,28.6,27,28.2,NA,37,20150824,10.887,27.652,23.059,23.835,7.7,2.5,10,5,45
163,20140911,DF,DF 13.2,13,2,C,28.4,28.6,28.8,NA,2.3,20150824,15.54,31.321,26.9,30.787,5.5,1.15,4.6,10.86956522,39.13043478
164,20140911,DF,DF 13.3,13,3,D,28.4,28.6,28.8,NA,35.2,20150814,25.37,36.862,32.364,35.169,7.9,2.5,10,5,45
165,20130626,HF,HF 1-1,1,1,,27.4,26.8,26.2,26.8,86,20150807,17.298,35.204,29.973,32.683,2.8,2.5,10,5,45
166,20130626,HF,HF 1-2,1,2,,25.4,25.8,25.6,25.8,31.6,20150805,17.259,33.584,28.486,34.81,2.8,2.5,10,5,45
167,20130626,HF,HF 1-3,1,3,,26.8,27.6,26.8,27,<2,20150810,,,,NA,,2.5,10,5,45
168,20130626,HF,HF 2-1,2,1,,26.8,27.2,27.2,28,<2,20150807,,,,NA,,2.5,10,5,45
169,20130626,HF,HF 2-2,2,2,,25,25.8,24,25.2,6.21,20150810,13.556,30.931,27.213,29.932,5.6,2.5,10,5,45
170,20130626,HF,HF 2-3,2,3,,26.2,26.2,26.4,26.4,4.56,20150810,11.404,31.977,27.476,30.042,1,2.28,9.12,5.48245614,44.51754386
171,20130626,HF,HF 3-1,3,1,,24.8,25.2,25.4,25.8,68,20150805,16.315,30.888,28.2,35.992,2.1,2.5,10,5,45
172,20130626,HF,HF 3-2,3,2,,25.4,24.2,24.8,24.6,20.3,20150810,13.835,31.699,27.343,34.272,2.5,2.5,10,5,45
173,20130626,HF,HF 3-3,3,3,,25.4,25.4,25.2,25.6,89,20150805,13.799,31.563,25.954,35.812,2,2.5,10,5,45
174,20130626,HF,HF 4-1,4,1,,25.4,27.2,25.2,26.4,23.5,20150807,15.582,34.036,30.279,37.729,2.6,2.5,10,5,45
175,20130626,HF,HF 4-2,4,2,,23.2,24,23.6,23.8,<2,20150806,,,,NA,,2.5,10,5,45
176,20130626,HF,HF 5-1,5,1,,28.4,28.4,28.4,28.2,29.6,20150806,10.875,29.962,26.099,30.81,4.5,2.5,10,5,45
177,20130626,HF,HF 5-2,5,2,,26.2,25.8,26.8,26.6,5.44,20150807,21.893,34.875,,34.447,2.4,2.5,10,5,45
178,20130626,HF,HF 5-3,5,3,,29.4,29.2,28.8,27.6,8.74,20150810,14.182,32.098,27.972,31.331,3.4,2.5,10,5,45
179,20130626,HF,HF 6-1,6,1,,26,24.2,25.4,25.6,97,20150806,7.943,30.522,25.473,27.652,2,2.5,10,5,45
180,20130626,HF,HF 6-2B,6,2,,24.8,25.6,25.6,25.6,63 (after diluted 1:2),20150806,8.528,29.925,25.953,33.06,2.3,2.5,10,5,45
181,20130626,HF,HF 6-3B,6,3,,23.6,24.4,24.2,24.8,70 (after diluted 1:2),20150805,8.535,30.268,25.634,34.441,2,2.5,10,5,45
182,20130626,HF,HF 7-1,7,1,,25.2,25.4,25.2,25.2,16.9,20150806,10.015,30.161,24.971,28.215,4,2.5,10,5,45
183,20130626,HF,HF 8-1,8,1,,24.4,24.8,25.4,25,10.9,20150810,15.992,32.205,28.013,33.325,2.9,2.5,10,5,45
184,20130626,HF,HF 8-2,8,2,,25,24.8,25.2,26.4,5.71,20150806,10.442,31.809,26.576,27.83,3.1,2.5,10,5,45
185,20130626,HF,HF 8-3,8,3,,25.8,26.4,26.2,26.4,4.92,20150805,14.888,30.843,27.138,32.908,2.8,2.46,9.84,5.081300813,44.91869919
186,20130626,HF,HF 9-1,9,1,,24.2,26.2,26.2,28.4,<2,20150811,,,,NA,,2.5,10,5,45
187,20130626,HF,HF 9-2,9,2,,23.6,22.2,24.2,24.4,11,20150807,19.4,31.686,29.34,37.625,2.6,2.5,10,5,45
188,20130626,HF,HF 9-3,9,3,,24.4,24.8,24.4,24.6,64,20150805,10.551,31.2,25.61,29.409,2.9,2.5,10,5,45
189,20130626,HF,HF 10-1,10,1,,27.6,27.2,27.4,27.4,5.13,20150807,11.832,30.762,25.668,29.325,1,2.5,10,5,45
190,20130626,HF,HF 10-2,10,2,,26,25.2,27.6,27.6,<2,20150810,,,,NA,,2.5,10,5,45
191,20130626,HF,HF 10-3,10,3,,27.4,27,26.4,26.6,5.15,20150807,10.52,30.865,25.888,28.556,3.5,2.5,10,5,45
